Trial,RiskType,TimeType,RewardType,Reward,Shock,Offset,ITI,LeftKey,FixOnset,RiskOnset,RewardOnset,ResponseType,ResultOnset,ResponseOnset,ResponseTime,ResponseUncertainty,ShockOnset
35,2,1,3,0.83,0,1,9.625,0,535.6161,545.2587,545.7593,1,548.7297,547.9812,2.2219,0.00029324,
36,1,1,3,0.66,0,1,10.5,1,550.4811,561.0104,561.5102,1,564.4799,562.9331,1.4228,0.00042154,
37,3,2,3,0.84,1,1,10.5,1,566.2425,576.7604,577.261,0,580.2393,579.9726,2.7116,0.00035482,
38,1,2,3,0.93,0,1,10.5,0,581.9889,592.5113,593.0118,1,595.9856,594.1971,1.1852,0.0012323,
39,3,2,1,0.2,1,0,11.375,1,597.7353,609.1328,609.6326,0,612.6168,611.1076,1.475,0.00083281,
40,3,2,2,0.41,1,1,9.625,1,614.3689,623.9963,624.4969,0,627.4951,626.4833,1.9864,0.00020747,
41,1,2,2,0.59,0,1,10.5,1,629.2521,639.7472,640.2477,1,643.2509,641.7631,1.5154,0.0003255,
42,1,2,3,0.85,0,1,10.5,1,645.003,655.5055,656.0054,1,659.0018,657.331,1.3256,0.00051244,
43,3,2,3,0.92,1,0,11.375,1,660.7543,672.135,672.635,1,675.6204,674.7624,2.1274,0.00033869,676.8625
44,2,2,3,0.8,0,1,9.625,0,677.3838,686.9997,687.5149,1,690.5035,689.2739,1.7590000000000001,0.00032477,
45,1,2,2,0.37,0,1,10.5,0,692.2637,702.7673,703.2678,1,706.2605,705.5535,2.2857,0.00029104,
46,1,2,3,0.8,1,1,10.5,1,708.0101,718.5182,719.0187,1,722.0069,720.2336,1.2149,0.00056889,723.2466
47,2,2,2,0.62,0,1,10.5,0,723.7573,734.2709,734.7708,1,737.7560000000001,737.6731,2.9023,0.00041714,
48,2,2,1,0.11,1,1,10.5,0,739.5196,750.0199,750.5204,0,753.5163,751.5928,1.0723,0.00044133,
49,3,2,2,0.5,1,0,11.375,0,755.2660000000001,766.6469,767.1467,0,770.1459,769.3601,2.2134,0.00034236,
50,3,2,2,0.63,1,1,9.625,0,771.8956,781.5268,782.0267,0,785.0258,784.048,2.0213,0.00046039,
51,2,2,3,0.89,0,0,11.375,1,786.7774,798.1568,798.6573,1,801.6438,800.4874,1.8301,0.00036215,
52,1,2,3,0.71,0,1,9.625,0,803.4051,813.0362,813.5361,1,816.5269999999999,814.9674,1.4312,0.00054983,
53,2,2,1,0.19,1,0,11.375,1,818.2791,829.6584,830.159,0,833.1482,831.7666,1.6075,0.00032183,
54,2,2,2,0.46,0,0,10.5,1,834.8979,845.4122,845.9121,1,848.8964,848.0631,2.151,0.001151,
55,3,2,1,0.07,0,1,9.625,0,850.6609,860.2925,860.7931,0,863.7796,862.3501,1.557,0.00045819,
56,3,2,2,0.55,1,0,11.375,1,865.5315,876.9217,877.4283,0,880.4148,879.2134,1.7852,0.00029544,
57,2,2,3,0.67,1,1,9.625,1,882.1668,891.7943,892.2948,1,895.2841,894.4452,2.1504,0.00038781,896.5244
58,2,2,1,0.25,0,0,11.375,1,897.0336,908.4294,908.9144,0,911.9165,911.0047,2.0904,0.0003255,
59,3,2,1,0.28,1,0,10.5,1,913.6686,924.1776,924.6775,0,927.6675,925.9085,1.2309999999999999,0.00033723,
60,1,2,1,0.32,0,1,9.625,0,929.4192,939.0469,939.5573,1,942.5507,941.6211,2.0638,0.0012111,
61,3,2,3,0.68,1,1,10.5,1,944.3026,954.8039,955.3038,99,958.303,,,,
62,1,2,1,0.07,0,1,10.5,0,960.0535,970.5503,971.0502,0,974.0524,972.9472,1.8969999999999998,0.00028884,
63,2,2,2,0.54,1,0,11.375,0,975.8043,987.1837,987.6843,1,990.679,989.4509,1.7666,0.00028371,991.9127
64,2,2,3,0.75,1,0,10.5,0,992.4286,1002.9346,1003.4427,1,1006.4253,1004.9386,1.4959,0.00034822,1007.6659
65,1,2,1,0.23,0,1,9.625,0,1008.1752,1017.8178,1018.3184,1,1021.3054,1020.2188,1.9004,0.00081668,
66,1,2,2,0.5,0,1,10.5,0,1023.0569,1033.5693,1034.0692,1,1037.0558,1035.6978,1.6286,0.00029178,
67,3,2,1,0.14,1,0,11.375,0,1038.818,1050.1872,1050.6877,0,1053.6909,1052.274,1.5863,0.00081595,
68,2,2,1,0.32,0,1,9.625,0,1055.4429,1065.0704,1065.5710000000001,0,1068.5611,1068.2331,2.6621,0.00032110000000000005,
69,1,2,2,0.45,0,0,11.375,1,1070.3109,1081.7083,1082.2061,1,1085.1927,1083.401,1.1949,0.00049631,
70,2,2,2,0.38,1,0,10.5,0,1086.9447,1097.4547,1097.9546,1,1100.9435,1100.7049,2.7503,0.00080275,1102.1806
71,3,2,3,0.76,1,1,9.625,0,1102.7034,1112.3346,1112.8235,1,1115.8268,1114.984,2.1604,0.0003167,1117.0607
72,1,2,1,0.16,0,0,11.375,0,1117.5834,1128.9581,1129.4641,99,1132.4466,,,,
73,3,3,2,0.39,1,1,9.625,0,1134.1972,1143.8274,1144.3275,0,1147.3284,1145.9676,1.6401,0.00054763,
74,2,3,1,0.24,1,1,10.5,0,1149.0806,1159.5755,1160.0928,0,1163.0793,1162.2869,2.1941,0.00037682,
75,2,3,3,0.86,0,0,11.375,0,1164.8314,1176.2201,1176.7113,1,1179.7026,1177.8146,1.1033,0.00033649,
76,1,3,2,0.56,0,1,9.625,0,1181.4665,1191.0833,1191.5945,1,1194.5824,1192.7583,1.1638,0.00040614,
77,3,3,3,0.81,1,1,10.5,0,1196.3331,1206.8464,1207.3463,1,1210.3319999999999,1208.9899,1.6435,0.00037095,1211.5737
78,2,3,3,0.94,0,1,10.5,0,1212.0952,1222.5956,1223.0962,1,1226.0919,1225.6693,2.573,0.00025439,
79,2,3,2,0.51,1,0,11.375,1,1227.8416,1239.2308,1239.7223,1,1242.7214,1241.9892,2.267,0.00045526,1243.955
80,3,3,1,0.33,1,1,9.625,0,1244.4712,1254.1023,1254.6022,0,1257.6014,1256.3408,1.7386,0.00035556,
81,1,3,2,0.42,0,0,11.375,0,1259.3532,1270.7325,1271.2331,1,1274.2197,1273.5563,2.3232,0.00029104,
82,1,3,3,0.69,0,0,10.5,0,1275.9806,1286.4834,1286.984,1,1289.9773,1289.0839999999998,2.1,0.00037535,
83,2,3,3,0.72,0,0,10.5,0,1291.7269999999999,1302.2342,1302.7413,1,1305.7238,1304.8676,2.1263,0.0003321,
84,1,3,1,0.12,0,0,10.5,1,1307.4735,1317.9878,1318.4876,99,1321.4722,,,,
85,3,3,2,0.55,1,0,10.5,1,1323.2409,1333.7358,1334.2365,0,1337.2332,1335.8118,1.5752,0.0011195,
86,1,3,1,0.21,0,0,10.5,1,1338.9918,1349.4868,1349.9874,1,1352.9796,1352.8027,2.8153,0.00046039,
87,3,3,2,0.47,1,0,10.5,0,1354.7427,1365.2436,1365.7435,0,1368.7415,1368.2339,2.4903,0.00030937,
88,3,3,1,0.12,1,1,9.625,1,1370.4935,1380.1236,1380.6235,0,1383.6081,1382.7297,2.1062,0.0003167,
89,2,3,1,0.17,1,1,10.5,1,1385.3722,1395.8716,1396.3723,0,1399.3691,1398.5773,2.205,0.00037828,
90,1,3,2,0.64,0,0,11.375,0,1401.1187,1412.4995,1412.9994,1,1415.9987,1414.5452,1.5458,0.00060261,
91,1,3,1,0.05,0,0,10.5,0,1417.7483,1428.2578,1428.7584,0,1431.7451,1430.2646,1.5062,0.0003167,
92,1,3,3,0.85,0,1,9.625,0,1433.4969,1443.1259,1443.6258,1,1446.6281,1445.2563,1.6305,0.00035116,
93,1,3,1,0.29,0,1,10.5,0,1448.3801,1458.8752,1459.3756,1,1462.3789,1461.4477,2.0721,0.00030937,
94,1,3,3,0.77,1,0,11.375,0,1464.131,1475.5104,1476.011,1,1479.0009,1476.8315,0.8205399999999999,0.00027931,1480.2419
95,3,3,1,0.17,1,0,10.5,0,1480.7504,1491.2648,1491.7648,0,1494.7651,1493.3995,1.6347,0.0005381,
96,2,3,3,0.78,1,1,9.625,0,1496.517,1506.1448,1506.645,1,1509.6315,1508.4466,1.8016,0.00030424,1510.8736
97,2,3,2,0.43,1,1,10.5,0,1511.3936,1521.8953,1522.3959,1,1525.3904,1524.9662,2.5703,0.00021919999999999996,1526.6270000000002
98,3,3,3,0.65,1,1,10.5,0,1527.1511,1537.6543,1538.1467,0,1541.1368,1540.8062,2.6594,0.00045526,
99,3,3,3,0.73,0,0,11.375,1,1542.902,1554.2673,1554.767,1,1557.7685,1556.3096,1.5426,0.00032769999999999994,
100,2,3,1,0.3,0,0,10.5,1,1559.5205,1570.0322,1570.5328,1,1573.5192,1573.2131,2.6803,0.00027198,
101,1,3,3,0.9,0,0,10.5,0,1575.279,1585.7831,1586.2836,1,1589.2758,1587.517,1.2334,0.00038268,
102,3,3,1,0.26,1,1,9.625,1,1591.0254,1600.6566,1601.1565,0,1604.1557,1603.4124,2.2559,0.00027931,
103,1,3,2,0.48,0,1,10.5,1,1605.9054,1616.4029999999998,1616.9029,1,1619.9043,1618.5403,1.6374,0.00055349,
104,2,3,1,0.08,0,0,11.375,0,1621.6563,1633.0356,1633.5362,0,1636.5317,1634.9878,1.4516,0.00040028,
105,3,3,3,0.9,1,1,9.625,0,1638.2814,1647.9125,1648.4194,1,1651.4116,1650.0034,1.584,0.00037608,1652.6459
106,2,3,2,0.6,1,1,10.5,1,1653.1613,1663.6697,1664.1703,1,1667.1581,1666.267,2.0967,0.00026465,1668.3987
107,2,3,2,0.35,0,1,10.5,0,1668.9089999999999,1679.422,1679.9219,0,1682.9212,1682.7466,2.8247,0.00033503,
108,3,3,2,0.6,1,1,10.5,1,1684.6707,1695.1715,1695.672,0,1698.6675,1697.7543,2.0823,0.00030204,
